Lake_Filename,Start_Date,End_Date
Habitat_hydrological_data_2021-04-20/Established_Elevation_csv/Apache_Lake_elevation_daily.csv,1/1/2000,1/5/2021
Habitat_hydrological_data_2021-04-20/Established_Elevation_csv/Canyon_Lake_elevation_daily.csv,1/1/2000,12/28/2020
Habitat_hydrological_data_2021-04-20/Established_Elevation_csv/Lake_Havasu_Elevation_daily.csv,1/1/1997,12/27/2020
Habitat_hydrological_data_2021-04-20/Established_Elevation_csv/Lake_Mead_Elevation_daily.csv,1/1/1997,12/28/2020
Habitat_hydrological_data_2021-04-20/Established_Elevation_csv/Lake_Mohave_Elevation_daily.csv,1/1/1997,12/27/2020
Habitat_hydrological_data_2021-04-20/Established_Elevation_csv/Lake_Powell_Elevation_daily.csv,1/1/2000,12/30/2020
Habitat_hydrological_data_2021-04-20/Established_Elevation_csv/Saguaro_Lake_elevation_daily.csv,1/1/2000,1/5/2021
Negative_Elevation_csv/Carter_Lake_elevation_daily_duplicates_Removed.csv,3/18/2003,5/1/2021
Negative_Elevation_csv/Calamus_Reservoir_elevation_daily_Duplicates_Removed.csv,2/4/1997,5/1/2021
Negative_Elevation_csv/Currant_Creek_Reservoir_elevation_daily.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Davis_Creek_Reservoir_elevation_daily_duplicates_Removed.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Flatiron_Reservoir_elevation_daily_duplicates_Removed.csv,2/13/2003,5/19/2021
Negative_Elevation_csv/Folsom_Lake_elevation_daily.csv,1/1/1997,4/30/2021
Negative_Elevation_csv/Keith_Sebelius_Reservoir_elevation_daily_duplicates_Removed.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Kirwin_Reservoir_elevation_daily_diplicates_Removed.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Lake_Estes_elevation_daily_duplicates_Removed.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Lake_Tschida_elevation_daily_duplicates_Removed.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Lost_Creek_elevation_daily.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Moon_Lake_elevation_daily.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Newton_Reservoir_elevation_daily.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Pactola_Reservoir_elevation_daily_duplicates_Removed.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Paonia_Reservoir_elevation_daily.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Pinewood_Reservoir_elevation_daily_duplicates_Removed.csv,2/26/2003,5/1/2021
Negative_Elevation_csv/Platoro_Reservoir_elevation_daily.csv,3/12/2016,5/1/2021
Negative_Elevation_csv/Ruedi_Reservoir_elevation_daily_duplicates_Removed.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Silver_Jack_Reservoir_elevation_daily_without_missing.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Taylor_Park_Reservoir_elevation_daily.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Trinity_Lake_elevation_daily.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Twin_Lakes_Reservoir_elevation_daily_duplicates_Removed.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Webster_Reservoir_elevation_daily_duplicates_Removed.csv,1/1/1997,5/1/2021
Negative_Elevation_csv/Whiskeytown_Lake_elevation_daily.csv,1/1/1997,5/1/2021
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/Angostura_Elevation_daily_Duplicates_Removed.csv,1/1/2004,1/1/2021
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/Bartlett_Elevation_daily.csv,1/1/2000,12/31/2020
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/BlueMesa_Elevation_daily.csv,1/1/1998,12/30/2020
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/DeerCreek_Elevation_daily.csv,1/1/2004,12/30/2020
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/FlamingGorge_Elevation_daily.csv,1/1/1998,1/1/2021
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/GreenMountain_Elevation_daily_duplicates_removed.csv,1/1/2001,1/1/2021
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/Jordanelle_Elevation_daily.csv,1/1/2004,12/30/2020
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/LakeElwell_Elevation_daily.csv,1/1/2006,12/31/2020
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/NavajoReservoir_Elevation_daily.csv,1/1/2001,12/30/2020
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/PuebloReservoir_Elevation_daily_duplicates_removed.csv,1/1/1998,1/1/2021
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/TheodoreRoosevelt_Elevation_daily.csv,1/1/2000,12/31/2020
Habitat_hydrological_data_2021-04-20/Suspect_Elevation_csv/WillardBay_Elevation_daily.csv,1/1/2007,1/1/2021
